idx,red_nodes,ilp,kmb_ratio,sa_ratio,gnn_ratio
18,7,1.7123,1.0000194669937121,1.0,1.5122
153,4,1.153,1.0,1.0,1.0
183,10,1.3373,1.0000249258456095,1.0,3.069
99,9,2.6994,1.000016464564142,1.0,1.5362
207,8,2.4609,0.9999928290223806,1.0,1.7004
132,8,1.6619,0.9999968330477799,1.0,1.7777
88,10,1.8383,1.0000181326950623,1.0,2.4188
122,9,1.6898,0.9999897080693883,1.0,2.1725
8,14,1.1818,1.098056292798501,2.1677,1.098
105,11,2.6379,1.0000108311264913,1.0,2.2546
187,8,1.6246,0.9999785900475836,1.0,2.1326
220,10,2.3714,0.9999935124334215,1.0,1.8771
234,11,1.003,1.0,1.0,4.5588
146,14,1.4874,0.9999831921473712,1.0,4.9094
225,7,0.6314,0.9999657560633172,1.0,2.9417
215,13,1.0735,1.0000119427227019,1.0,5.8929
114,16,1.1498,1.0000289905490811,2.4793,5.6026
113,14,1.3647,1.0000015590676152,1.7615,5.6689
139,17,1.9006,1.0657433042922924,2.4196,4.5103
65,16,1.4614,1.0000320299101124,1.4854,4.4616
13,8,1.2027,0.9999787300279797,1.0,1.9887
22,15,1.9148,1.0133040055378741,1.2212,4.0906
30,17,2.3334,1.0000134449940086,1.0,4.347
84,20,1.0308,1.2794090170884895,1.0,10.5508
201,23,0.7947,0.9999580554506942,1.3508,5.1092
218,18,2.4366,0.9999882740587002,1.785,2.9513
92,20,0.9771,1.0000388200127754,3.9165,11.6429
59,18,1.5754,1.000018135983605,1.785,6.1821
140,24,1.1675,0.9999774597092304,3.8529,10.797
204,14,1.431,0.9999999999999997,1.3909,3.2411
170,23,1.7171,1.000008592451436,1.4159,6.321
10,29,1.1055,0.9999629275381661,7.5321,1.0
34,20,2.1071,1.0255467597478947,1.524,4.4173
161,28,1.8313,0.9999842660627303,4.2992,6.9933
145,24,2.445,1.0000000000000002,1.4984,1.0
150,36,1.7697,1.0000033239266208,4.0459,11.6438
101,19,1.7447,1.0000233511438879,2.4004,5.4346
58,31,1.0908,1.1021252275377689,4.2863,16.2602
87,26,1.9777,0.9999990459662977,2.8825,5.6972
156,31,0.8122,0.99995112699275,11.9813,1.2867
119,19,1.0296,0.9999958670171435,2.2428,7.9296
68,39,2.2778,1.125452434610394,5.7919,1.1254
46,37,1.8222,1.2224733339320102,5.5056,1.2225
38,40,2.5908,1.000008065278056,5.0989,1.0
47,40,1.8496,1.000020320011147,6.0916,1.0
81,39,1.4239,1.0000132866907219,6.6049,1.0
94,36,3.6082,0.999997167845989,5.0509,1.0
203,44,2.1435,1.1438581164504151,9.5548,1.1438
179,31,1.3614,1.027695677321063,6.5898,1.0277
217,37,0.8369,0.9999911786947837,18.7168,26.5753
53,42,1.017,1.0859366670220707,16.0446,1.0859
185,39,1.4131,0.9999748893418953,7.8295,1.0
43,47,1.4438,0.9999934727221431,17.6893,1.0
154,41,4.4208,1.1152763737566616,4.3398,5.1954
61,48,0.5458,0.9999647282211462,20.5201,1.0
208,20,0.5774,1.0000475942432119,1.0,16.6769
86,34,1.0768,0.9999955244454789,7.8989,1.0
159,37,3.0054,1.0000092077447178,2.0564,7.0825
228,41,1.4281,1.0000265604890994,6.1448,16.3369
16,46,1.5603,1.091023535439575,9.6361,15.2552
172,50,0.8887,1.3028537795050676,22.686,1.3028
205,40,1.449,0.9999999999999999,5.6878,1.0
160,56,1.4005,1.0919997301819462,10.6883,1.092
9,55,2.0759,1.0000073482524632,9.1798,1.0
41,57,1.6092,1.1698895146013868,12.9387,1.1699
52,46,0.9418,1.0000253070682643,11.4501,1.0
200,54,0.9558,0.9999633573535522,18.4471,1.0
70,58,1.5985,1.1706104071228982,12.2923,1.1706
125,50,1.4513,1.0538396609935918,15.3742,1.0538
135,61,1.9418,1.0335770934184778,13.5168,1.0336
129,61,1.2254,1.1244664454594497,17.5345,1.1244
123,56,1.8211,0.9999968917811441,11.8502,1.0
60,51,1.815,1.087038681328689,7.2534,1.0871
155,60,2.3337,1.0000100288191796,8.5062,1.0
90,68,1.0889,0.9999732286789301,18.3821,1.0
138,61,2.2522,0.9999795072168751,9.3544,1.0
50,67,1.5219,0.9999718397116386,11.6612,1.0
142,77,0.9128,1.0000110939770799,30.3808,1.0
193,86,1.9323,1.1471334992527353,19.9665,1.1471
56,87,1.9382,1.000005430975023,16.0989,1.0
23,75,2.8079,0.9999848944546881,8.865,1.0
